Time,Interface,Sent Mbps,Recv Mbps,Sent PPS,Recv PPS,ErrIn,ErrOut,DropIn,DropOut
09:41:42,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:43,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:44,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:45,eth0,0.00112,0.00112,2.0,2.0,0,0,0,0
09:41:46,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:47,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:48,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:49,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:50,eth0,0.000784,0.000784,1.0,1.0,0,0,0,0
09:41:51,eth0,0.001504,0.001344,2.0,2.0,0,0,0,0
